city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
Walla Walla,WA,Covenant Presbyterian Church,99,14,1,2,5,191116,16400,216016,77,216093,153168,25541,199539,2511.81395348837
Cleveland,MS,Covenant Presbyterian Church at Cleveland,442,4,5,8,11,1134000,17000,1195000,40000,1235000,870000,110000,1174750,3328.69080779944
Greenville,MS,Covenant Presbyterian Church at Greenville,38,2,3,3,2,127993,NA,134143,4218,138361,69116,NA,85666,3530.07894736842
Jackson,TN,Covenant Presbyterian Church at Jackson,98,6,9,5,5,248116,NA,248116,1802,249918,229630,NA,278958,2819.5
Little Rock,AR,Covenant Presbyterian Church at Little Rock,352,31,41,9,9,780517,22023,970495,23044,993539,594801,28000,805553,3358.11418685121
Russellville,AR,Covenant Presbyterian Church at Russellville,32,3,1,2,1,8284136,2500,8286636,0,8286636,8706345,NA,8708887,285746.068965517
Laurel,MD,Covenant Presbyterian Church of Maryland,34,7,13,1,2,127320,0,158650,0,158650,115290,NA,138293,5288.33333333333
Ruston,LA,Covenant Reformed,54,7,4,3,2,184554,NA,195554,3871,199425,186090,0,186090,4656.04761904762
Asheville,NC,Covenant Reformed Presbyterian Church,187,27,16,4,4,524102,0,532727,18700,551427,390786,0,551417,3459.26623376623
Boom Road,NB,Covenant Reformed Presbyterian Church,21,0,0,1,0,21748,1319,23067,2067,25134,18111,5469,28124,1647.64285714286
Pueblo,CO,Covenant Reformed Presbyterian Church,70,5,4,4,1,199824,NA,199824,NA,199824,201265,NA,210965,3386.84745762712
Dahlonega,GA,Creekstone Church,126,22,1,5,4,386141,900136,1286277,NA,1286277,340419,58135,433550,12368.0480769231
Chestnut Hill,PA,Cresheim Valley Church,122,35,1,3,5,207344,0,214411,0,214411,226598,0,243098,2256.95789473684
Edmonton,AB,Crestwood Presbyterian Church,230,22,26,6,5,334561,2170,568811,27969,596780,226877,56095,618846,3447.33939393939
Crete,IL,Crete Church,144,0,0,NA,NA,380240,NA,380240,NA,380240,NA,NA,32813,2640.55555555556
Sanford,NC,Cross Covenant Chinese Church,41,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoover,AL,Cross Creek Church,197,9,7,7,7,572842,15137,679668,NA,679668,634515,87952,788413,3998.04705882353
St. Johns,FL,Cross Creek Church,168,0,0,NA,NA,353097,NA,353097,NA,353097,NA,NA,13490,2101.76785714286
Fayetteville,NC,Cross Creek Presbyterian Church,159,24,34,4,2,279386,7000,376728,264,376992,NA,NA,26750,3488.22222222222
Matthews,NC,Cross Park Church,221,11,20,4,4,630596,0,843498,51416,894914,668715,0,837896,6294.76119402985
Bainbridge Island,WA,Cross Sound Church,269,0,0,6,14,0,0,0,0,0,0,0,0,0
Seneca,SC,Crossgate Church,141,10,7,6,5,578622,NA,593322,5576,598898,408880,45000,614156,4207.95744680851
Sacramento,CA,CrossPoint Church of Sacramento,280,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boone,NC,CrossPoint Community Church,78,0,0,3,2,299000,NA,299000,NA,299000,22700,NA,49150,3833.33333333333
Park City,UT,CrossPoint Presbyterian Church,49,8,0,NA,NA,293654,NA,401807,NA,401807,301899,NA,355857,11817.8529411765
Austin,TX,CrossPointe Church,214,28,19,6,7,623815,539515,1200986,60521,1261507,756849,321421,1108920,7323.08536585366
Lake Stevens,WA,Crossroads @ Lake Stevens,86,6,8,6,3,126838,0,126838,721,127559,118521,24400,150519,1565.9012345679
Upper Darby,PA,Crossroads Community Church,320,0,0,NA,NA,261085,NA,261085,NA,261085,NA,NA,75146,815.890625
Somerville,NJ,Crossroads Community Church,226,25,12,4,6,1072261,45735,1145708,13,1145721,730820,55751,927285,6779.33727810651
Brentwood,TN,Crossroads of the Nations,48,0,0,2,0,300000,0,300000,0,300000,150000,NA,204000,6250
Woodbridge,VA,Crossroads Presbyterian Church,116,1,10,5,4,353586,NA,353586,929,354515,292454,136736,475127,3571.57575757576
Middletown,DE,Crossroads Presbyterian Church,211,0,34,5,3,642000,NA,677807,NA,677807,521669,NA,670883,3530.24479166667
Maplewood,MO,Crossroads Presbyterian Fellowship,215,15,4,6,4,380000,NA,380000,NA,380000,NA,NA,0,2087.91208791209
Chesapeake,VA,Crosswater Presbyterian Church,115,18,3,4,5,333550,4696,364871,6310,371181,310989,NA,338094,3317.00909090909
Richmond,VA,Crown and Joy,80,17,1,2,1,192605,0,249619,22,249641,191938,NA,203818,4379.28070175439
Winter Haven,FL,Cypress Ridge Presbyterian Church,170,11,2,3,5,409077,260404,678581,66,678647,364285,227401,617597,4881.87769784173
Carrollton,TX,Dallas Dream Church,83,0,0,NA,NA,248730,NA,248730,NA,248730,243359,NA,268359,3657.79411764706
Greenland Beach,MD,DaySpring Presbyterian Church,57,3,0,0,0,89978,0,89978,40787,130765,98521,0,100918,2999.26666666667
Forsyth,GA,Dayspring Presbyterian Church,39,0,1,4,1,112577,12740,144615,1745,146360,127340,1500,150640,3908.51351351351
Decatur,AL,Decatur Presbyterian Church,334,18,13,9,11,1560884,23798,1584682,100000,1684682,1112163,0,1662731,6071.5785440613
Westminster,MD,Deep Run Church,157,14,4,3,3,306822,NA,312199,13067,325266,295916,NA,319439,3356.97849462366
Littleton,CO,Deer Creek Community Church,502,61,0,7,4,1345279,NA,1345279,NA,1345279,1074046,NA,1265341,3655.64945652174
DeKalb,MS,DeKalb Presbyterian Church,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,LA,Delhi Presbyterian Church,71,8,0,2,6,185000,NA,204345,NA,204345,196366,NA,272695,3005.07352941176
Denton,TX,Denton Presbyterian Church,108,4,4,5,5,276967,5000,281967,NA,281967,211977,NA,250347,3204.17045454545
Denver,CO,Denver Presbyterian Church,337,34,23,9,9,1225060,83019,1396213,33732,1429945,983947,15269,1208784,5432.73540856031
Chandler,AZ,Desert Palms Church,192,12,7,3,4,565441,0,587720,NA,587720,550590,0,611388,3229.23076923077
Tucson,AZ,Desert Springs Presbyterian Church,45,1,7,2,2,181841,110,193451,NA,193451,177784,NA,194633,4836.275
Edinburg,TX,Dios Con Nosotros Iglesia Presbiteriana,45,11,5,3,0,3819224,1800,3821024,NA,3821024,3693525,NA,3693525,97974.9743589744
Irvine,CA,Disciple Community Church,800,0,0,NA,NA,2433000,NA,2433000,NA,2433000,2929000,NA,2934200,5406.66666666667
Miramichi,NB,Douglastown Community Church,17,0,0,1,1,98911,550,99831,499,100330,81254,10000,95919,7130.78571428571
Wilmington,NC,Downtown Presbyterian at Azalea Station,93,31,0,0,0,298781,0,298781,0,298781,300000,0,303450,4526.98484848485
Greenville,SC,Downtown Presbyterian Church,1412,130,64,15,33,4088333,256256,4676868,88211,4765079,2400213,596793,3725214,4302.54645814167
Draper,VA,Draper's Valley Presbyterian Church,228,9,17,7,9,426467,52363,481407,458,481865,352195,23134,455196,2281.54976303318
Winchester,VA,Eagle Heights Presbyterian Church,262,18,6,7,12,582553,304123,886676,37343,924019,456611,0,582235,4547.05641025641
Charlotte,NC,East Charlotte Presbyterian Church,150,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marietta,GA,East Cobb Presbyterian Church,396,17,17,14,15,985527,0,1172860,12990,1185850,1047988,NA,1170512,3949.02356902357
Millsboro,DE,East Gate Presbyterian Church,84,7,11,2,0,259284,24290,291015,NA,291015,182405,NA,205610,3464.46428571429
East Ridge,TN,East Ridge Presbyterian Church,173,6,6,3,6,387441,NA,387441,NA,387441,356168,27880,417917,2747.8085106383
Mount Pleasant,SC,Eastbridge Presbyterian Church,105,10,5,4,6,508973,NA,608226,67237,675463,419962,NA,495298,6540.06451612903
Fairhope,AL,Eastern Shore Presbyterian Church,615,40,25,9,20,2062652,172,2074794,120556,2195350,1368606,3207,1808240,4234.27346938776
Virginia Beach,VA,Eastminster Presbyterian Church,123,6,1,3,1,104128,0,119148,41323,160471,166525,19128,192757,1045.15789473684
Greenville,SC,Eastside Presbyterian Church,171,5,5,6,6,518626,NA,563305,110907,674212,605948,88976,749686,3730.49668874172
Montgomery,AL,Eastwood Presbyterian Church,357,22,9,9,10,1262097,NA,1662297,76552,1738849,838432,515509,1669444,5751.89273356401
Columbia,SC,Eau Claire Presbyterian Church,18,0,2,3,0,47451,0,111026,2246,113272,102693,0,108343,7401.73333333333
Knoxville,TN,Ebenezer Presbyterian Church,104,2,18,6,2,94070,405,100379,1071,101450,70102,0,93602,1394.15277777778
Mine Hill Township,NJ,Ebenezer Presbyterian Church,58,6,5,3,6,132883,1325,154364,NA,154364,NA,NA,22320,2968.53846153846
Castro Valley,CA,Eden Korean Presbyterian Church,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol,TN,Edgemont Presbyterian Church,77,0,0,3,5,201813,NA,207750,12810,220560,190024,NA,220524,2698.05194805195
Edwards,MS,Edwards Presbyterian Church,35,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vista,CA,El Camino Presbyterian Church,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellisville,MS,Ellisville Presbyterian Church,22,4,4,4,0,21443,0,25474,0,25474,20117,979,21946,1498.47058823529
Boca Raton,FL,Emanuel Presbyterian Church,173,36,29,5,6,205289,3764,215953,6170,222123,202605,NA,202705,1623.70676691729
Philadelphia,PA,Emmanuel Church in Philadelphia,445,4,3,3,10,517000,910,651397,30771,682168,148653,910,159663,2029.27414330218
Austin,TX,Emmanuel Presbyterian Church,90,0,0,NA,NA,309910,NA,309910,NA,309910,318869,NA,350639,3689.40476190476
Franklin,NC,Emmanuel Presbyterian Church,56,0,0,NA,NA,86960,NA,86960,NA,86960,NA,NA,11871,1552.85714285714
Chicago,IL,Emmanuel Presbyterian Church,39,6,4,2,1,132545,NA,132545,NA,132545,100000,30000,136700,3681.80555555556
Arlington,VA,Emmanuel Presbyterian Church,222,25,6,4,1,1089391,6052,1125475,151025,1276500,1108827,37356,1263829,5069.70720720721
New York,NY,Emmanuel Presbyterian Church,155,0,0,NA,NA,816752,NA,816752,NA,816752,648063,NA,698542,6431.11811023622
Taylors,SC,Emmanuel Upstate Presbyterian Church,46,8,2,6,3,NA,NA,0,NA,0,NA,NA,0,0
Appleton,WI,Emmaus Road Church,464,23,2,3,5,490000,10000,508000,NA,508000,475000,NA,531100,1212.41050119332
Chicago,IL,Ethos Presbyterian Church,35,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis,IN,Eunhye Korean Presbyterian Church of Indianapolis,202,26,15,4,48,392214,6800,435267,NA,435267,305620,51600,402220,2622.09036144578
Alabaster,AL,Evangel Church PCA,343,15,24,9,9,1300860,136693,1534674,34117,1568791,968714,242457,1373922,5202.28474576271
Wichita,KS,Evangel Presbyterian Church,142,13,9,3,1,387563,240,392113,970,393083,337293,20580,389953,3921.13
Newark,DE,Evangelical Presbyterian Church,337,22,26,11,11,1148296,NA,1153366,3052,1156418,947035,NA,1117010,3422.45103857567
Annapolis,MD,Evangelical Presbyterian Church,686,30,143,11,20,2170027,1800,2359082,497872,2856954,2326012,1097,2767473,4580.74174757282
Powhatan,VA,Evergreen Community Church,71,3,0,3,5,175000,604103,779373,18000,797373,181000,17800,222100,12371
Sevierville,TN,Evergreen Presbyterian Church,130,0,0,NA,NA,220440,NA,220440,NA,220440,243387,NA,252293,2449.33333333333
Beaverton,OR,Evergreen Presbyterian Church,175,20,8,5,8,531903,NA,606625,18276,624901,405387,NA,496842,4044.16666666667
Salem,OR,Evergreen Presbyterian Church,189,19,5,3,2,NA,NA,0,NA,0,NA,NA,0,0
Fredericksburg,VA,Evident Grace Fellowship,47,5,4,2,1,110037,NA,110037,NA,110037,96270,NA,102911,3438.65625
Exeter,NH,Exeter Presbyterian Church,135,6,10,6,4,333397,150000,483397,3600,486997,170760,290946,590195,3867.176
New York,NY,Exilic Church,445,67,69,5,0,1279516,538981,1863530,27051,1890581,871157,344942,1428467,4479.63942307692
Springfield,IL,Exodus Presbyterian Church,53,6,0,2,3,162552,NA,162552,83125,245677,214433,NA,217284,4393.2972972973
Elkton,MD,Fair Hill Church,249,26,0,5,1,771888,2833,843717,NA,843717,665709,136400,930963,4326.75384615385
Elkton,MD,Fair Hill Church,249,26,0,5,1,771888,2833,843717,NA,843717,665709,136400,930963,4326.75384615385
Pensacola,FL,Fairfield Presbyterian Church,120,12,3,5,5,229033,105482,345428,38801,384229,298926,4200,358524,3353.66990291262
Fairton,NJ,Fairfield Presbyterian Church,95,2,0,3,3,178400,NA,184600,NA,184600,196796,NA,225906,2171.76470588235
Fairview,NC,Fairview Christian Fellowship,42,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fountain Inn,SC,Fairview Presbyterian Church,205,2,2,4,7,250250,0,289250,0,289250,234800,30000,285225,1483.33333333333
Industry,PA,Fairview Reformed Presbyterian Church,263,17,7,6,7,335511,NA,335511,NA,335511,NA,NA,0,1590.09952606635
Baltimore,MD,Faith Christian Fellowship Church,230,0,0,NA,NA,750138,NA,750138,NA,750138,740024,NA,760183,4777.94904458599
White Plains,NY,Faith Church of Westchester,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Chicago,IL,Faith Community Church,75,0,0,NA,NA,230789,NA,230789,NA,230789,NA,NA,21198,3077.18666666667
Kalispell,MT,Faith Covenant Presbyterian Church,362,27,17,8,10,859188,59860,940827,28845,969672,630113,0,771340,2816.84730538922
Anchorage,AK,Faith Presbyterian Church,250,34,5,3,6,685000,NA,685000,700,685700,427649,NA,495929,3870.05649717514
Clinton,LA,Faith Presbyterian Church,46,0,2,NA,NA,139588,NA,139588,5841,145429,95460,NA,140444,3034.52173913043
Aberdeen,MS,Faith Presbyterian Church,41,0,0,NA,NA,28923,NA,28923,NA,28923,NA,NA,4577,705.439024390244
Brookhaven,MS,Faith Presbyterian Church,249,10,5,9,12,NA,NA,0,NA,0,NA,NA,0,0
Watkinsville,GA,Faith Presbyterian Church,388,23,23,7,7,1091459,903599,2049441,271501,2320942,946367,3555,1166086,7018.63356164384
Cheraw,SC,Faith Presbyterian Church,92,7,1,3,4,221589,0,240102,76000,316102,205969,0,226227,2609.80434782609
Florence,SC,Faith Presbyterian Church,46,2,3,2,2,116255,0,116615,0,116615,111005,0,133740,3887.16666666667
Myrtle Beach,SC,Faith Presbyterian Church,113,11,4,6,7,436146,NA,488767,NA,488767,NA,NA,62775,4745.31067961165
Paris,TX,Faith Presbyterian Church,56,10,7,2,3,85362,0,85362,0,85362,65338,0,73786,1985.16279069767
Birmingham,AL,Faith Presbyterian Church,1576,190,18,16,32,4823042,3654368,8661319,321661,8982980,3414619,3970281,7970853,6761.3731459797
Tacoma,WA,Faith Presbyterian Church,448,36,9,11,12,1398560,NA,1525869,30103,1555972,1156735,0,1528076,3912.48461538462
Gainesville,FL,Faith Presbyterian Church,186,21,32,5,2,537512,NA,537512,740,538252,517377,58393,630059,4166.75968992248
Sarasota,FL,Faith Presbyterian Church,139,0,0,4,3,258814,68903,347374,150731,498105,427454,40560,489014,2499.09352517986
Wilmington,DE,Faith Presbyterian Church,288,15,6,6,6,788182,0,858182,40327,898509,865344,0,1009054,3900.82727272727
Anniston,AL,Faith Presbyterian Church,185,22,18,9,5,291854,NA,291854,NA,291854,246626,NA,277384,1932.80794701987
Morganton,NC,Faith Presbyterian Church,195,11,1,6,10,380328,NA,380328,NA,380328,324009,NA,380009,2971.3125
Wauchula,FL,Faith Presbyterian Church,41,0,1,2,1,59510,NA,59510,NA,59510,51000,NA,56000,1451.46341463415
Irmo,SC,Faith Presbyterian Church,180,0,0,NA,NA,413632,NA,413632,NA,413632,403224,NA,459461,2491.75903614458
Goodlettsville,TN,Faith Presbyterian Church,69,2,35,3,5,181965,4550,208352,14346,222698,194248,46097,262690,3655.29824561404
LaVale,MD,Faith Presbyterian Church,106,2,6,7,5,420494,66697,493814,6,493820,241844,127058,443797,6497.55263157895
Cincinnati,OH,Faith Presbyterian Church,155,18,40,6,5,506537,NA,511941,10772,522713,461993,NA,488893,3938.00769230769
San Antonio,TX,Faith Presbyterian Church,150,5,3,3,4,183732,59049,242781,67,242848,208490,22805,239495,1618.54
Fairless Hills,PA,Faith Presbyterian Church,110,3,20,4,6,298809,300,300114,9323,309437,237173,665,266001,2942.29411764706
Lancaster,NH,Faith Presbyterian Church,65,6,0,2,0,85651,700,86351,0,86351,83884,700,87904,1798.97916666667
Grandville,MI,Faith Presbyterian Church,54,11,12,3,3,184736,181677,368974,305,369279,163258,260607,426926,6832.85185185185
Cedar Grove,WI,Faith Reformed Church,313,16,17,6,6,507266,NA,518762,145000,663762,390655,NA,484784,2002.94208494208
Erie,PA,Faith Reformed Church,40,3,4,1,2,100790,NA,101102,3059,104161,96807,NA,101107,3063.69696969697
Frederick,MD,Faith Reformed Presbyterian Church,217,17,2,6,7,454212,139155,622364,1077,623441,295501,30000,436840,3639.55555555556
Quarryville,PA,Faith Reformed Presbyterian Church,389,40,16,9,6,860195,3075,873119,21981,895100,739995,15000,903651,3042.22648083624
Vancouver,BC,Faith Reformed Presbyterian Church,307,0,0,NA,NA,528211,NA,528211,NA,528211,509423,NA,621463,2096.0753968254
Faunsdale,AL,Faunsdale Presbyterian Church,102,1,1,6,7,252062,NA,252062,NA,252062,81036,16443,218861,2471.19607843137
Seatac,WA,Federal Way New Life Church,7,0,0,0,2,9000,NA,11528,NA,11528,3773,NA,11423,1921.33333333333
Peoria,AZ,Fellowship of Grace Church,53,12,16,2,NA,170500,NA,170500,116791,287291,446901,NA,465572,3479.59183673469
Newland,NC,Fellowship Presbyterian Church,42,1,2,3,1,117374,8850,230872,NA,230872,26816,70185,129203,6596.34285714286
Newport,TN,Fellowship Presbyterian Church,18,0,0,2,1,25000,NA,25000,NA,25000,25000,NA,26700,1666.66666666667
Greer,SC,Fellowship Presbyterian Church,247,18,8,4,6,689387,164336,871060,NA,871060,589108,196336,857148,4228.44660194175
Mount Pleasant,MI,Fellowship Reformed Church (PCA),46,5,0,NA,NA,130000,NA,130000,NA,130000,NA,NA,1500,4062.5
Tyler,TX,Fifth Street Presbyterian Church,202,15,20,6,5,366472,24627,391749,19635,411384,301755,34027,396363,2213.27118644068
York,SC,Filbert Presbyterian Church,224,11,4,11,8,651424,10100,661524,NA,661524,434383,NA,592391,2953.23214285714
Lansing,IL,First Church (PCA),390,16,15,9,10,758980,21445,847237,18396,865633,613320,52042,878278,2931.61591695502
Dillsburg,PA,First Korean Church in PCA,76,2,3,NA,NA,119402,NA,152364,NA,152364,119079,4813,123992,2004.78947368421
Glenview,IL,First Korean Presbyterian Church,164,10,2,1,3,NA,NA,0,NA,0,NA,NA,0,0
Nixa,MO,First Korean Presbyterian Church of Springfield,350,110,10,0,42,190659,99501,290160,0,290160,238160,52000,304804,1160.64
St. Ann,MO,First Korean Presbyterian Church of St. Louis,150,8,13,2,48,127170,0,146630,0,146630,82296,0,82296,1221.91666666667
Biloxi,MS,First Korean Presbyterian Mission,40,17,6,0,7,27914,332,28716,1310,30026,27748,190,29605,820.457142857143
Villa Rica,GA,First Presbyterian Church,57,0,6,2,3,87000,0,89900,5300,95200,86400,4000,102000,1997.77777777778
Schenectady,NY,First Presbyterian Church,264,9,7,6,9,779394,0,815274,0,815274,591950,NA,831940,3655.93721973094
Crossville,TN,First Presbyterian Church,161,26,8,5,3,655365,131948,802268,0,802268,350586,607232,1035554,5313.03311258278
Brewton,AL,First Presbyterian Church,134,1,11,5,6,331007,NA,395433,29349,424782,333687,NA,400942,3188.97580645161
Tuscumbia,AL,First Presbyterian Church,284,9,74,8,8,737574,NA,748591,NA,748591,611982,NA,759357,3119.12916666667
Niceville,FL,First Presbyterian Church,218,48,22,10,12,795650,8650,836190,11595,847785,599082,0,774420,4288.15384615385
Atmore,AL,First Presbyterian Church,50,0,0,4,4,162246,NA,162246,NA,162246,148500,0,163180,3244.92
Pooler,GA,First Presbyterian Church,152,13,2,5,4,818255,NA,834787,NA,834787,177000,NA,193200,7196.43965517241
Ft. Oglethorpe,GA,First Presbyterian Church,109,5,4,4,2,204730,0,206543,34669,241212,221831,0,244880,2429.91764705882
Weaverville,NC,First Presbyterian Church,153,13,12,3,5,303284,5955,324167,NA,324167,137995,5750,214154,2132.67763157895
Biloxi,MS,First Presbyterian Church,97,15,9,7,5,272040,NA,279415,NA,279415,262984,NA,284409,3037.11956521739
Greensboro,AL,First Presbyterian Church,67,5,2,3,5,103500,NA,103500,NA,103500,107495,NA,110095,1544.77611940299
Madison,MS,First Presbyterian Church,150,4,7,6,9,227895,NA,246090,3913,250003,247802,NA,269902,1757.78571428571
Yazoo City,MS,First Presbyterian Church,94,5,3,5,4,597966,43295,663233,13058,676291,403953,3704,473107,7288.27472527472
Louisville,MS,First Presbyterian Church,229,12,4,9,7,447629,NA,521494,11381,532875,629641,82731,799392,2277.26637554585
Gulfport,MS,First Presbyterian Church,314,12,119,8,11,651393,NA,651393,NA,651393,632198,NA,759169,2458.08679245283
Aliceville,AL,First Presbyterian Church,136,12,1,6,8,361197,NA,430021,12968,442989,485267,NA,599466,3524.76229508197
Centreville,AL,First Presbyterian Church,65,5,8,2,4,70461,6140,87999,84,88083,79397,6140,94058,1491.50847457627
Dothan,AL,First Presbyterian Church,766,69,5,NA,NA,2355720,155505,2634730,40000,2674730,2066315,358683,2494606,4202.12121212121
Jackson,MS,First Presbyterian Church,2772,124,116,53,79,10092376,334795,11933922,186677,12120599,7576806,167994,11477297,5241.07246376812
Taylorsville,MS,First Presbyterian Church,52,0,0,NA,NA,98055,NA,98055,NA,98055,62387,NA,79887,2228.52272727273
Greenville,AL,First Presbyterian Church,92,0,63,4,6,439624,50000,495008,298,495306,344639,50000,508986,5892.95238095238
Sandersville,GA,First Presbyterian Church,21,1,0,4,0,25464,0,25464,0,25464,17065,0,24345,1212.57142857143
Bad Axe,MI,First Presbyterian Church,102,4,6,4,2,171378,0,189399,18155,207554,167343,0,175468,1913.12121212121
Crystal Springs,MS,First Presbyterian Church,82,6,6,4,9,195513,0,204157,6440,210597,169447,103661,324966,2722.09333333333
Panama City,FL,First Presbyterian Church,364,45,3,13,12,650660,48730,699390,NA,699390,609592,636286,1312491,2125.80547112462
Waynesboro,GA,First Presbyterian Church,53,6,3,2,2,187999,NA,236517,19188,255705,122947,NA,207377,4730.34
Demopolis,AL,First Presbyterian Church,69,8,1,4,4,159212,0,159312,2088,161400,127294,16554,172238,2377.79104477612
Chattanooga,TN,First Presbyterian Church,1372,178,23,20,36,5137975,1374266,6512241,1998214,8510455,7645124,195023,8570783,5757.94960212202
Augusta,GA,First Presbyterian Church,1972,0,0,NA,NA,5256344,NA,5256344,NA,5256344,4938988,NA,5499040,3714.73074204947
Camden,AL,First Presbyterian Church,70,0,3,4,6,114422,0,116972,9978,126950,85735,72349,160634,1827.6875
Lexington,MS,First Presbyterian Church,12,0,1,2,2,35687,NA,36938,10687,47625,41299,NA,47436,3078.16666666667
Russellville,AL,First Presbyterian Church,23,3,1,2,NA,49022,NA,49022,NA,49022,45678,NA,45678,2131.39130434783
Ellerbe,NC,First Presbyterian Church,175,0,0,NA,NA,187290,NA,187290,NA,187290,NA,NA,47530,1070.22857142857
Dillon,SC,First Presbyterian Church,322,2,12,9,9,393400,355000,810900,NA,810900,355135,NA,423815,3230.67729083665
Kosciusko,MS,First Presbyterian Church,286,9,7,6,8,659628,NA,947397,NA,947397,650607,0,855804,3483.07720588235
Union,MS,First Presbyterian Church,44,0,1,3,3,141813,NA,149867,NA,149867,119634,NA,144310,3655.29268292683
Summerville,GA,First Presbyterian Church,30,2,1,3,1,63000,0,63000,0,63000,50000,0,61400,2333.33333333333
Woodville,MS,First Presbyterian Church,38,0,1,3,2,24005,0,24005,0,24005,20328,645,23473,774.354838709677
Hattiesburg,MS,First Presbyterian Church,821,31,111,14,27,1721298,901269,2705233,40222,2745455,1460185,1035721,2754897,3914.95369030391
Prattville,AL,First Presbyterian Church,228,18,12,5,1,517859,NA,530615,NA,530615,NA,NA,14200,2947.86111111111
Belzoni,MS,First Presbyterian Church,197,3,2,5,9,325474,157,353355,942,354297,269870,27598,357802,2078.55882352941
Enterprise,AL,First Presbyterian Church,86,10,10,1,3,340234,NA,340234,NA,340234,194153,NA,214553,5316.15625
Montgomery,AL,First Presbyterian Church,41,2,2,3,0,65579,NA,70365,NA,70365,79982,NA,84758,2606.11111111111
Philadelphia,MS,First Presbyterian Church,22,0,2,NA,NA,84124,NA,84124,NA,84124,107218,NA,107668,3823.81818181818
Troy,AL,First Presbyterian Church,60,6,31,3,0,119852,0,121735,8408,130143,192548,0,201821,2254.35185185185
Picayune,MS,First Presbyterian Church,38,0,3,3,1,121485,NA,124415,NA,124415,81674,NA,89764,3659.26470588235
Hinckley,MN,First Presbyterian Church,108,8,4,5,NA,144833,NA,216952,28889,245841,157795,5269,195145,2437.66292134831
Florala,AL,First Presbyterian Church,33,0,1,2,NA,73201,NA,73201,NA,73201,66457,NA,73201,2287.53125
Hazlehurst,MS,First Presbyterian Church,49,0,1,1,1,170361,NA,174141,NA,174141,274018,0,283192,3553.89795918367
Eutaw,AL,First Presbyterian Church,25,2,0,3,2,49130,0,49130,0,49130,49800,0,50452,2047.08333333333
Macon,GA,First Presbyterian Church,992,59,16,18,19,2760105,3088789,7036725,88272,7124997,2571067,4747295,8718501,8367.09274673008
Stanley,NC,First Presbyterian Church,327,14,10,10,11,764186,NA,764186,95656,859842,605645,37498,710464,2671.97902097902
Trenton,MI,First Presbyterian Church,549,29,50,10,6,936213,85775,1239815,34836,1274651,735446,102426,1217400,2712.94310722101
Charleston,MS,First Presbyterian Church at Charleston,105,2,1,6,4,191604,10825,234504,NA,234504,167903,NA,200126,2521.54838709677
Clarendon,AR,First Presbyterian Church at Clarendon,54,0,3,6,4,40719,0,41160,6548,47708,39303,0,39356,840
Clarksdale,MS,First Presbyterian Church at Clarksdale,125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyersburg,TN,First Presbyterian Church at Dyersburg,95,8,5,3,NA,197129,NA,199611,264000,463611,343024,NA,403855,2935.45588235294
Indianola,MS,First Presbyterian Church at Indianola,61,0,0,NA,NA,231962,NA,231962,NA,231962,211433,NA,233257,5154.71111111111
Water Valley,MS,First Presbyterian Church at Water Valley,56,16,2,3,5,293972,NA,298864,NA,298864,159772,NA,188461,5860.07843137255
Winona,MS,First Presbyterian Church at Winona,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ipswich,MA,First Presbyterian Church North Shore,382,17,35,7,5,NA,NA,NA,NA,NA,NA,NA,216870,NA
Coral Springs,FL,First Presbyterian Church of Coral Springs,264,18,11,9,12,704666,NA,822181,NA,822181,691362,NA,748662,3440.08786610879
Jasper,AL,First Presbyterian Church of Jasper,61,20,2,5,3,153341,NA,153341,NA,153341,58291,NA,67891,2599
Stavanger,NORWAY,First Presbyterian Church of Norway,27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean City,NJ,First Presbyterian Church of Ocean City,92,13,1,6,2,302283,18864,370486,6910,377396,302220,10872,365497,4027.02173913043
Ripon,CA,First Presbyterian Church Ripon,866,47,31,11,9,2474605,38921,2589189,NA,2589189,NA,NA,39692,4410.88415672913
Faunsdale,AL,First Presbyterian Church Uniontown,12,1,1,2,5,11225,1800,13950,0,13950,10525,1000,12775,1162.5
Minco,OK,First Reformed Presbyterian Church,45,2,14,1,1,89668,NA,89668,318,89986,85179,NA,85179,2802.125
